"","STATE","COUNTYNAME","param"
"1","AL","Alabama",1.73500927147881e-05
"2","AL","Autauga County",1.82353776598527e-05
"3","AL","Baldwin County",1.53369846506066e-05
"4","AL","Barbour County",2.45180971853362e-05
"5","AL","Bibb County",2.1395790106056e-05
"6","AL","Blount County",2.0293519385549e-05
"7","AL","Bullock County",3.12979110424224e-05
"8","AL","Butler County",2.4693669163899e-05
"9","AL","Calhoun County",2.18946511435783e-05
"10","AL","Chambers County",2.69157786309471e-05
"11","AL","Cherokee County",2.17855082937061e-05
"12","AL","Chilton County",2.15442177927207e-05
"13","AL","Choctaw County",2.15186618553127e-05
"14","AL","Clarke County",2.1512963345919e-05
"15","AL","Clay County",2.14366686851736e-05
"16","AL","Cleburne County",2.12195642185275e-05
"17","AL","Coffee County",1.85016714367737e-05
"18","AL","Colbert County",1.94406131416611e-05
"19","AL","Conecuh County",2.49829233449145e-05
"20","AL","Coosa County",2.43118724677829e-05
"21","AL","Covington County",2.11277074805169e-05
"22","AL","Crenshaw County",2.40841455998134e-05
"23","AL","Cullman County",1.95766999957715e-05
"24","AL","Dale County",2.20970892366547e-05
"25","AL","Dallas County",2.66511124124545e-05
"26","AL","DeKalb County",2.38672295874835e-05
"27","AL","Elmore County",1.76110970520796e-05
"28","AL","Escambia County",2.23845654639692e-05
"29","AL","Etowah County",2.17710480101424e-05
"30","AL","Fayette County",2.36496174849402e-05
"31","AL","Franklin County",2.25346852733123e-05
"32","AL","Geneva County",2.32574022334492e-05
"33","AL","Greene County",3.11372402234866e-05
"34","AL","Hale County",2.49778177092958e-05
"35","AL","Henry County",2.02001747414077e-05
"36","AL","Houston County",1.76251286884966e-05
"37","AL","Jackson County",2.10770349000694e-05
"38","AL","Jefferson County",1.43002324702024e-05
"39","AL","Lamar County",2.40328956133332e-05
"40","AL","Lauderdale County",1.89853381561348e-05
"41","AL","Lawrence County",2.19424564903171e-05
"42","AL","Lee County",1.64817891402007e-05
"43","AL","Limestone County",1.60409619294623e-05
"44","AL","Lowndes County",2.58258296400298e-05
"45","AL","Macon County",2.88679526023182e-05
"46","AL","Madison County",1.39698202420452e-05
"47","AL","Marengo County",2.15121047146245e-05
"48","AL","Marion County",2.37946032375519e-05
"49","AL","Marshall County",2.02529706277012e-05
"50","AL","Mobile County",1.88616674922982e-05
"51","AL","Monroe County",2.35281567041552e-05
"52","AL","Montgomery County",1.79276508621761e-05
"53","AL","Morgan County",1.84762119202319e-05
"54","AL","Perry County",3.23414453045516e-05
"55","AL","Pickens County",2.427479585767e-05
"56","AL","Pike County",2.24531439020815e-05
"57","AL","Randolph County",2.32115014647176e-05
"58","AL","Russell County",2.57695723388246e-05
"59","AL","St. Clair County",1.79931168401374e-05
"60","AL","Shelby County",1.20777936448119e-05
"61","AL","Sumter County",2.89702069548296e-05
"62","AL","Talladega County",2.25846643577521e-05
"63","AL","Tallapoosa County",2.09255534035301e-05
"64","AL","Tuscaloosa County",1.7681026135225e-05
"65","AL","Walker County",1.88448774110553e-05
"66","AL","Washington County",2.01009334891907e-05
"67","AL","Wilcox County",2.84716540058857e-05
"68","AL","Winston County",2.17164336597705e-05
"69","AK","Alaska",1.46667686368915e-05
"70","AK","Aleutians East Borou",1.92766767225765e-05
"71","AK","Aleutians West Censu",1.55856842744964e-05
"72","AK","Anchorage Municipali",1.29855946529958e-05
"73","AK","Bethel Census Area",2.76070503015087e-05
"74","AK","Bristol Bay Borough",1.61746497338697e-05
"75","AK","Denali Borough",1.47959430358441e-05
"76","AK","Dillingham Census Ar",2.29196640073904e-05
"77","AK","Fairbanks North Star",1.48791801204499e-05
"78","AK","Haines Borough",1.79303252911561e-05
"79","AK","Hoonah-Angoon Census",2.1186535617735e-05
"80","AK","Juneau City and Boro",1.30377844904655e-05
"81","AK","Kenai Peninsula Boro",1.53128948242246e-05
"82","AK","Ketchikan Gateway Bo",1.54099430490125e-05
"83","AK","Kodiak Island Boroug",1.68600435260456e-05
"84","AK","Kusilvak Census Area",4.75710542672001e-05
"85","AK","Lake and Peninsula B",2.66335756404223e-05
"86","AK","Matanuska-Susitna Bo",1.50929939523873e-05
"87","AK","Nome Census Area",2.06186108308952e-05
"88","AK","North Slope Borough",1.96685253158794e-05
"89","AK","Northwest Arctic Bor",1.91598994802758e-05
"90","AK","Petersburg Census Ar",1.53471555618264e-05
"91","AK","Prince of Wales-Hyde",1.95660063092553e-05
"92","AK","Sitka City and Borou",1.50281260091555e-05
"93","AK","Skagway Municipality",1.65038560222759e-05
"94","AK","Southeast Fairbanks",1.74137953399753e-05
"95","AK","Valdez-Cordova Censu",1.57222732997042e-05
"96","AK","Wrangell City and Bo",1.95821681463349e-05
"97","AK","Yakutat City and Bor",1.91735309491484e-05
"98","AK","Yukon-Koyukuk Census",3.10817085094556e-05
"99","AZ","Arizona",1.54447085713288e-05
"100","AZ","Apache County",2.67322841791956e-05
"101","AZ","Cochise County",2.04335167250672e-05
"102","AZ","Coconino County",1.68529070107348e-05
"103","AZ","Gila County",2.06679390508503e-05
"104","AZ","Graham County",1.97773792676708e-05
"105","AZ","Greenlee County",1.81632564267237e-05
"106","AZ","La Paz County",2.61561656551141e-05
"107","AZ","Maricopa County",1.39284162110866e-05
"108","AZ","Mohave County",2.18363183193853e-05
"109","AZ","Navajo County",2.29252458271099e-05
"110","AZ","Pima County",1.66994878798173e-05
"111","AZ","Pinal County",1.92623539499493e-05
"112","AZ","Santa Cruz County",2.06806928795547e-05
"113","AZ","Yavapai County",1.76388667298525e-05
"114","AZ","Yuma County",2.26658471648918e-05
"115","AR","Arkansas",1.64961529169737e-05
"116","AR","Arkansas County",1.9920556997185e-05
"117","AR","Ashley County",2.18053912979499e-05
"118","AR","Baxter County",2.12029571622667e-05
"119","AR","Benton County",8.51570018545574e-06
"120","AR","Boone County",1.99732735064242e-05
"121","AR","Bradley County",2.34596117248755e-05
"122","AR","Calhoun County",2.11158089567391e-05
"123","AR","Carroll County",2.37676530666981e-05
"124","AR","Chicot County",2.36281842693481e-05
"125","AR","Clark County",2.19879521998208e-05
"126","AR","Clay County",2.47864803753269e-05
"127","AR","Cleburne County",2.04132850618972e-05
"128","AR","Cleveland County",2.02463158194142e-05
"129","AR","Columbia County",1.95315427499609e-05
"130","AR","Conway County",1.94171113624871e-05
"131","AR","Craighead County",1.81234352690069e-05
"132","AR","Crawford County",2.16938912204628e-05
"133","AR","Crittenden County",2.31637187002085e-05
"134","AR","Cross County",2.23360436082489e-05
"135","AR","Dallas County",2.3995364837584e-05
"136","AR","Desha County",2.46434180315248e-05
