"","STATE","COUNTYNAME","param"
"137","AR","Drew County",1.88898204352088e-05
"138","AR","Faulkner County",1.79333606519657e-05
"139","AR","Franklin County",2.16341927700648e-05
"140","AR","Fulton County",2.62751663261246e-05
"141","AR","Garland County",1.96761167223185e-05
"142","AR","Grant County",1.84782871687191e-05
"143","AR","Greene County",2.00838569665639e-05
"144","AR","Hempstead County",2.60722939007407e-05
"145","AR","Hot Spring County",2.21481413562186e-05
"146","AR","Howard County",2.32610481053284e-05
"147","AR","Independence County",2.02874808686514e-05
"148","AR","Izard County",2.39223690843753e-05
"149","AR","Jackson County",2.37437785020768e-05
"150","AR","Jefferson County",2.31815076521745e-05
"151","AR","Johnson County",2.43163246239527e-05
"152","AR","Lafayette County",2.49347493046728e-05
"153","AR","Lawrence County",2.50470648032034e-05
"154","AR","Lee County",2.64002987629465e-05
"155","AR","Lincoln County",2.2739865337647e-05
"156","AR","Little River County",2.32968077506143e-05
"157","AR","Logan County",2.47372557899315e-05
"158","AR","Lonoke County",1.82181141225819e-05
"159","AR","Madison County",2.33721631410435e-05
"160","AR","Marion County",2.50318440445125e-05
"161","AR","Miller County",2.16462773251145e-05
"162","AR","Mississippi County",2.32415671770387e-05
"163","AR","Monroe County",2.64353982834155e-05
"164","AR","Montgomery County",2.55685875024113e-05
"165","AR","Nevada County",2.60763716878209e-05
"166","AR","Newton County",2.81516884721717e-05
"167","AR","Ouachita County",2.25490376576448e-05
"168","AR","Perry County",2.1145792743357e-05
"169","AR","Phillips County",2.82954190956906e-05
"170","AR","Pike County",2.50632571940191e-05
"171","AR","Poinsett County",2.47020258429323e-05
"172","AR","Polk County",2.47534211153594e-05
"173","AR","Pope County",1.94631937947928e-05
"174","AR","Prairie County",2.23625424337782e-05
"175","AR","Pulaski County",1.48309139221159e-05
"176","AR","Randolph County",2.48629459452561e-05
"177","AR","St. Francis County",2.80980933975984e-05
"178","AR","Saline County",1.6737899606135e-05
"179","AR","Scott County",2.66062510057101e-05
"180","AR","Searcy County",3.12572661346926e-05
"181","AR","Sebastian County",1.93148925665939e-05
"182","AR","Sevier County",2.52544538966072e-05
"183","AR","Sharp County",2.50126032217982e-05
"184","AR","Stone County",2.6504843595523e-05
"185","AR","Union County",1.73881389583074e-05
"186","AR","Van Buren County",2.33310948608303e-05
"187","AR","Washington County",1.62347286786128e-05
"188","AR","White County",1.87235006559779e-05
"189","AR","Woodruff County",2.51179112205363e-05
"190","AR","Yell County",2.50140165812087e-05
"191","CA","California",1.17609052268525e-05
"192","CA","Alameda County",9.88814678348696e-06
"193","CA","Alpine County",1.826568268041e-05
"194","CA","Amador County",1.55465606063287e-05
"195","CA","Butte County",1.76500889055225e-05
"196","CA","Calaveras County",1.48259537299811e-05
"197","CA","Colusa County",1.79897990557487e-05
"198","CA","Contra Costa County",8.94824600963554e-06
"199","CA","Del Norte County",2.06898683412401e-05
"200","CA","El Dorado County",1.09616453266769e-05
"201","CA","Fresno County",1.7956732037119e-05
"202","CA","Glenn County",2.0079654264789e-05
"203","CA","Humboldt County",1.86277403175298e-05
"204","CA","Imperial County",2.41528835145305e-05
"205","CA","Inyo County",1.65764875606316e-05
"206","CA","Kern County",1.87692910955724e-05
"207","CA","Kings County",1.91847618409375e-05
"208","CA","Lake County",2.08640097144077e-05
"209","CA","Lassen County",1.77358292646757e-05
"210","CA","Los Angeles County",1.25404071573423e-05
"211","CA","Madera County",2.02741409389288e-05
"212","CA","Marin County",5.23629862150671e-06
"213","CA","Mariposa County",1.85166851824238e-05
"214","CA","Mendocino County",1.83184721267294e-05
"215","CA","Merced County",2.08815289499186e-05
"216","CA","Modoc County",2.168681450268e-05
"217","CA","Mono County",1.57532698537763e-05
"218","CA","Monterey County",1.49907811565232e-05
"219","CA","Napa County",9.55477373078477e-06
"220","CA","Nevada County",1.39107481677058e-05
"221","CA","Orange County",1.06701697576566e-05
"222","CA","Placer County",1.06636013588351e-05
"223","CA","Plumas County",1.75069532116143e-05
"224","CA","Riverside County",1.7127884094193e-05
"225","CA","Sacramento County",1.53923522806617e-05
"226","CA","San Benito County",1.41547335650275e-05
"227","CA","San Bernardino Count",1.8779677396673e-05
"228","CA","San Diego County",1.26783768239665e-05
"229","CA","San Francisco County",6.64539083638148e-06
"230","CA","San Joaquin County",1.69092411182781e-05
"231","CA","San Luis Obispo Coun",1.31091401631304e-05
"232","CA","San Mateo County",5.9369419364413e-06
"233","CA","Santa Barbara County",1.21398472856801e-05
"234","CA","Santa Clara County",6.0372246631336e-06
"235","CA","Santa Cruz County",1.11890780962719e-05
"236","CA","Shasta County",1.71926415256672e-05
"237","CA","Sierra County",1.85573417576223e-05
"238","CA","Siskiyou County",2.01485591717074e-05
"239","CA","Solano County",1.46648096441241e-05
"240","CA","Sonoma County",1.15990395917011e-05
"241","CA","Stanislaus County",1.78056306327836e-05
"242","CA","Sutter County",1.82102587378951e-05
"243","CA","Tehama County",2.00570686735089e-05
"244","CA","Trinity County",2.16580614960437e-05
"245","CA","Tulare County",2.03478172015543e-05
"246","CA","Tuolumne County",1.66922656742583e-05
"247","CA","Ventura County",1.22303086110569e-05
"248","CA","Yolo County",1.32607981113814e-05
"249","CA","Yuba County",2.0813272231382e-05
"250","CO","Colorado",1.28713213139947e-05
"251","CO","Adams County",1.74340988208255e-05
"252","CO","Alamosa County",2.2077528223559e-05
"253","CO","Arapahoe County",1.18494231383507e-05
"254","CO","Archuleta County",1.737038816536e-05
"255","CO","Baca County",2.65298272033341e-05
"256","CO","Bent County",2.6502307050591e-05
"257","CO","Boulder County",9.71274052260433e-06
"258","CO","Broomfield County",1.06719292043187e-05
"259","CO","Chaffee County",1.63165151804538e-05
"260","CO","Cheyenne County",2.13157842422565e-05
"261","CO","Clear Creek County",1.24725856894879e-05
"262","CO","Conejos County",2.66857914695008e-05
"263","CO","Costilla County",2.84432275731765e-05
"264","CO","Crowley County",2.6501677035478e-05
"265","CO","Custer County",1.53350557524148e-05
"266","CO","Delta County",2.15887742458966e-05
"267","CO","Denver County",1.18305258620843e-05
"268","CO","Dolores County",2.22619064223804e-05
"269","CO","Douglas County",8.49171952162024e-06
"270","CO","Eagle County",7.61781214502047e-06
"271","CO","Elbert County",1.06470777904442e-05
"272","CO","El Paso County",1.53812862398627e-05
"273","CO","Fremont County",2.04245359462887e-05
"274","CO","Garfield County",1.29971392743327e-05
"275","CO","Gilpin County",1.51426740805726e-05
"276","CO","Grand County",1.43535199605401e-05
"277","CO","Gunnison County",1.63421511188414e-05
"278","CO","Hinsdale County",1.71735165322642e-05
"279","CO","Huerfano County",2.26226713953837e-05
"280","CO","Jackson County",2.24234938302e-05
"281","CO","Jefferson County",1.19138724861949e-05
"282","CO","Kiowa County",2.00759857133744e-05
"283","CO","Kit Carson County",2.13579279468313e-05
"284","CO","Lake County",2.02916202614296e-05
"285","CO","La Plata County",1.3517493106935e-05
"286","CO","Larimer County",1.31116419023105e-05
"287","CO","Las Animas County",2.24087122793443e-05
"288","CO","Lincoln County",2.14586630042381e-05
"289","CO","Logan County",1.86001443362348e-05
"290","CO","Mesa County",1.67578337030821e-05
"291","CO","Mineral County",1.5743742838056e-05
"292","CO","Moffat County",1.60013397431949e-05
"293","CO","Montezuma County",2.01733784044852e-05
"294","CO","Montrose County",1.90624438490338e-05
"295","CO","Morgan County",2.00059124808102e-05
"296","CO","Otero County",2.37550772939076e-05
"297","CO","Ouray County",1.35720682256455e-05
"298","CO","Park County",1.53659130355797e-05
"299","CO","Phillips County",1.90490642751761e-05
"300","CO","Pitkin County",7.17619757749905e-06
"301","CO","Prowers County",1.82669621076171e-05
"302","CO","Pueblo County",1.9883696304154e-05
"303","CO","Rio Blanco County",1.7042538094764e-05
"304","CO","Rio Grande County",2.20063808419829e-05
"305","CO","Routt County",1.04008280365258e-05
"306","CO","Saguache County",2.57316920684189e-05
"307","CO","San Juan County",2.38504943529754e-05
"308","CO","San Miguel County",1.04800748958286e-05
"309","CO","Sedgwick County",2.38733957674877e-05
"310","CO","Summit County",1.22143282483477e-05
"311","CO","Teller County",1.46494219906481e-05
"312","CO","Washington County",2.17687612342583e-05
"313","CO","Weld County",1.49604095852309e-05
"314","CO","Yuma County",2.03687185921964e-05
"315","CT","Connecticut",1.00604023349094e-05
"316","CT","Fairfield County",6.2914672990767e-06
"317","CT","Hartford County",1.28837895051886e-05
"318","CT","Litchfield County",1.26742138236029e-05
"319","CT","Middlesex County",1.14993358609711e-05
"320","CT","New Haven County",1.40905339370198e-05
"321","CT","New London County",1.37618900779124e-05
"322","CT","Tolland County",1.24266062914104e-05
"323","CT","Windham County",1.72277480180279e-05
"324","DE","Delaware",1.48043026848129e-05
"325","DE","Kent County",1.90573148026106e-05
"326","DE","New Castle County",1.33337981436894e-05
"327","DE","Sussex County",1.58964289673473e-05
"328","DC","District of Columbia",1.0048000300693e-05
"329","FL","Florida",1.39533905367991e-05
"330","FL","Alachua County",1.56913532261028e-05
"331","FL","Baker County",1.98944545135319e-05
"332","FL","Bay County",1.80339288111474e-05
"333","FL","Bradford County",2.05711959471815e-05
"334","FL","Brevard County",1.60593463178088e-05
"335","FL","Broward County",1.37939805613263e-05
"336","FL","Calhoun County",2.09591811586212e-05
"337","FL","Charlotte County",1.61339481349774e-05
"338","FL","Citrus County",1.9120026986718e-05
"339","FL","Clay County",1.65723277452674e-05
"340","FL","Collier County",6.48529691216245e-06
"341","FL","Columbia County",2.13794945877431e-05
"342","FL","DeSoto County",2.4004358107632e-05
"343","FL","Dixie County",2.26811302944311e-05
"344","FL","Duval County",1.59750183304137e-05
"345","FL","Escambia County",1.79136585154443e-05
"346","FL","Flagler County",1.62546496528736e-05
"347","FL","Franklin County",1.52823615740786e-05
"348","FL","Gadsden County",2.23681619436999e-05
"349","FL","Gilchrist County",2.12716291568655e-05
"350","FL","Glades County",1.8935049356578e-05
"351","FL","Gulf County",1.88904472285872e-05
"352","FL","Hamilton County",2.52707587569457e-05
"353","FL","Hardee County",2.42900193341015e-05
"354","FL","Hendry County",2.32505251262776e-05
"355","FL","Hernando County",2.13625815257619e-05
"356","FL","Highlands County",2.25187499203078e-05
"357","FL","Hillsborough County",1.45306762041269e-05
"358","FL","Holmes County",2.46415510435796e-05
"359","FL","Indian River County",1.06566484926366e-05
"360","FL","Jackson County",2.29559888065472e-05
"361","FL","Jefferson County",1.94532235331332e-05
"362","FL","Lafayette County",2.35032385774346e-05
"363","FL","Lake County",1.73137620682353e-05
"364","FL","Lee County",1.30208086261381e-05
"365","FL","Leon County",1.50624341186595e-05
"366","FL","Levy County",2.44649266743468e-05
"367","FL","Liberty County",2.25279105544242e-05
"368","FL","Madison County",2.265445178625e-05
"369","FL","Manatee County",1.27675842576157e-05
"370","FL","Marion County",2.02868636468712e-05
"371","FL","Martin County",8.69976062353546e-06
"372","FL","Miami-Dade County",1.29391284076811e-05
"373","FL","Monroe County",9.32094628574504e-06
"374","FL","Nassau County",1.24430771775516e-05
"375","FL","Okaloosa County",1.53338718550467e-05
"376","FL","Okeechobee County",2.1811375041613e-05
"377","FL","Orange County",1.60673202068838e-05
"378","FL","Osceola County",2.39144779729725e-05
"379","FL","Palm Beach County",8.27789268969386e-06
"380","FL","Pasco County",1.80332887490077e-05
"381","FL","Pinellas County",1.33190953158845e-05
"382","FL","Polk County",2.00785650685207e-05
"383","FL","Putnam County",2.45887821869629e-05
"384","FL","St. Johns County",9.48614990531742e-06
"385","FL","St. Lucie County",1.929880790893e-05
"386","FL","Santa Rosa County",1.54451491817536e-05
"387","FL","Sarasota County",1.03801811165971e-05
"388","FL","Seminole County",1.41626490919786e-05
"389","FL","Sumter County",1.25888846264903e-05
"390","FL","Suwannee County",2.39034662137434e-05
"391","FL","Taylor County",2.26169638921012e-05
"392","FL","Union County",2.16006898579992e-05
"393","FL","Volusia County",1.82063237315051e-05
"394","FL","Wakulla County",1.90468257241429e-05
"395","FL","Walton County",9.77887342508873e-06
"396","FL","Washington County",2.41323349872706e-05
"397","GA","Georgia",1.51762115613482e-05
"398","GA","Appling County",2.20555549374309e-05
"399","GA","Atkinson County",3.08150651085688e-05
"400","GA","Bacon County",2.42664886972857e-05
"401","GA","Baker County",2.61894017350734e-05
"402","GA","Baldwin County",2.1548272047071e-05
"403","GA","Banks County",2.19834131013822e-05
"404","GA","Barrow County",1.91380141551966e-05
"405","GA","Bartow County",1.88089053608391e-05
"406","GA","Ben Hill County",2.59901613521372e-05
"407","GA","Berrien County",2.43473163226513e-05
"408","GA","Bibb County",1.97618479474112e-05
"409","GA","Bleckley County",2.1365655313543e-05
"410","GA","Brantley County",2.52302851205347e-05
"411","GA","Brooks County",2.42448178120304e-05
"412","GA","Bryan County",1.47933331974414e-05
"413","GA","Bulloch County",2.03922979023509e-05
"414","GA","Burke County",2.27428132647102e-05
"415","GA","Butts County",1.93518494241534e-05
"416","GA","Calhoun County",2.59684497552208e-05
"417","GA","Camden County",1.94317188053972e-05
"418","GA","Candler County",2.26371985959686e-05
"419","GA","Carroll County",1.845976608383e-05
"420","GA","Catoosa County",1.95883397385321e-05
"421","GA","Charlton County",2.46312039929018e-05
"422","GA","Chatham County",1.61184051137106e-05
"423","GA","Chattahoochee County",2.6237647979537e-05
"424","GA","Chattooga County",2.50877682476894e-05
"425","GA","Cherokee County",1.31665914114276e-05
"426","GA","Clarke County",1.82269793277336e-05
"427","GA","Clay County",2.97198819411903e-05
"428","GA","Clayton County",3.03239579750286e-05
"429","GA","Clinch County",2.19833933200223e-05
"430","GA","Cobb County",1.16825219813664e-05
"431","GA","Coffee County",2.48512444987882e-05
"432","GA","Colquitt County",2.40994223502932e-05
"433","GA","Columbia County",1.36270462959005e-05
"434","GA","Cook County",2.59782867127355e-05
"435","GA","Coweta County",1.45650671884755e-05
"436","GA","Crawford County",2.34608543137125e-05
"437","GA","Crisp County",2.3861555740791e-05
"438","GA","Dade County",2.041929968572e-05
"439","GA","Dawson County",1.57507035534315e-05
"440","GA","Decatur County",2.39566403514202e-05
"441","GA","DeKalb County",1.45428673874647e-05
"442","GA","Dodge County",2.57323341947733e-05
"443","GA","Dooly County",2.6354676344013e-05
"444","GA","Dougherty County",2.40034042449737e-05
"445","GA","Douglas County",2.00374391962958e-05
"446","GA","Early County",2.55113867089497e-05
"447","GA","Echols County",2.70814945169434e-05
"448","GA","Effingham County",1.7271792944575e-05
"449","GA","Elbert County",2.41520606486804e-05
"450","GA","Emanuel County",2.6009254441226e-05
"451","GA","Evans County",2.52901477214582e-05
"452","GA","Fannin County",1.95130839461733e-05
"453","GA","Fayette County",1.07289835913791e-05
"454","GA","Floyd County",1.89872800991737e-05
"455","GA","Forsyth County",9.69272508736949e-06
"456","GA","Franklin County",2.2048878196392e-05
"457","GA","Fulton County",8.76788147690347e-06
"458","GA","Gilmer County",1.89174802820565e-05
"459","GA","Glascock County",2.22179386083383e-05
"460","GA","Glynn County",1.5200693794781e-05
"461","GA","Gordon County",2.0591947619676e-05
"462","GA","Grady County",2.41867875572547e-05
"463","GA","Greene County",9.96648246621162e-06
"464","GA","Gwinnett County",1.65869910195833e-05
"465","GA","Habersham County",1.96198428558755e-05
"466","GA","Hall County",1.64366648959166e-05
"467","GA","Hancock County",2.77096868161044e-05
"468","GA","Haralson County",2.05919953014924e-05
"469","GA","Harris County",1.40677976760341e-05
"470","GA","Hart County",2.00453601393939e-05
"471","GA","Heard County",2.31402188136632e-05
"472","GA","Henry County",1.84777510700388e-05
"473","GA","Houston County",1.82718279873831e-05
"474","GA","Irwin County",2.44690215142496e-05
"475","GA","Jackson County",1.74154743818414e-05
"476","GA","Jasper County",2.04318369478595e-05
"477","GA","Jeff Davis County",2.47343437567983e-05
"478","GA","Jefferson County",2.51683753598921e-05
"479","GA","Jenkins County",2.76870702479092e-05
"480","GA","Johnson County",2.65671924336626e-05
"481","GA","Jones County",1.86759072047646e-05
"482","GA","Lamar County",2.18867470182236e-05
"483","GA","Lanier County",2.5847361062798e-05
"484","GA","Laurens County",2.08813938098497e-05
"485","GA","Lee County",1.62975289856411e-05
"486","GA","Liberty County",2.50502920365361e-05
"487","GA","Lincoln County",2.07260991792172e-05
"488","GA","Long County",2.52293594721574e-05
"489","GA","Lowndes County",2.01942626176865e-05
"490","GA","Lumpkin County",1.82692917934517e-05
"491","GA","McDuffie County",2.29378471039686e-05
"492","GA","McIntosh County",2.14010203485929e-05
"493","GA","Macon County",2.6728012693287e-05
"494","GA","Madison County",2.12916196312265e-05
"495","GA","Marion County",2.45434015388488e-05
"496","GA","Meriwether County",2.24341205853772e-05
"497","GA","Miller County",2.22100654526099e-05
"498","GA","Mitchell County",2.57571346508192e-05
"499","GA","Monroe County",1.49241364340249e-05
"500","GA","Montgomery County",2.27902555582173e-05
"501","GA","Morgan County",1.40046078531934e-05
"502","GA","Murray County",2.40025124312213e-05
"503","GA","Muscogee County",1.85452652307293e-05
"504","GA","Newton County",2.19545253556396e-05
"505","GA","Oconee County",8.83732447621162e-06
"506","GA","Oglethorpe County",2.16616402585663e-05
"507","GA","Paulding County",1.76436984688164e-05
"508","GA","Peach County",2.10267127490575e-05
"509","GA","Pickens County",1.55766351864583e-05
"510","GA","Pierce County",1.96755346624364e-05
"511","GA","Pike County",1.67643369265882e-05
"512","GA","Polk County",2.348205505255e-05
"513","GA","Pulaski County",2.08702943576286e-05
"514","GA","Putnam County",1.67221549784611e-05
"515","GA","Quitman County",2.87318919862096e-05
"516","GA","Rabun County",1.5921725319735e-05
"517","GA","Randolph County",2.68022257872428e-05
"518","GA","Richmond County",2.24068154255498e-05
"519","GA","Rockdale County",2.05597566633119e-05
"520","GA","Schley County",2.17937351993553e-05
"521","GA","Screven County",2.33576790069096e-05
"522","GA","Seminole County",2.21655127333341e-05
"523","GA","Spalding County",2.22268421039217e-05
"524","GA","Stephens County",2.21447854604101e-05
"525","GA","Stewart County",2.92390317358837e-05
"526","GA","Sumter County",2.39865946380998e-05
"527","GA","Talbot County",2.59103099124963e-05
"528","GA","Taliaferro County",2.93419378295319e-05
"529","GA","Tattnall County",2.2257000343166e-05
"530","GA","Taylor County",2.42036810966233e-05
"531","GA","Telfair County",2.79812983227765e-05
"532","GA","Terrell County",2.4544527041331e-05
"533","GA","Thomas County",1.82536176733817e-05
"534","GA","Tift County",2.12663593175466e-05
"535","GA","Toombs County",2.15662144684573e-05
"536","GA","Towns County",1.83554616306393e-05
"537","GA","Treutlen County",2.58948696922588e-05
"538","GA","Troup County",2.0764542202118e-05
"539","GA","Turner County",2.77103370147502e-05
"540","GA","Twiggs County",2.55524423942913e-05
"541","GA","Union County",1.92309935649615e-05
"542","GA","Upson County",2.30195384114217e-05
"543","GA","Walker County",2.18909138824761e-05
"544","GA","Walton County",1.71261717166842e-05
"545","GA","Ware County",2.24501914347704e-05
"546","GA","Warren County",2.84052594628247e-05
"547","GA","Washington County",2.3176668147385e-05
"548","GA","Wayne County",2.16269723934027e-05
"549","GA","Webster County",2.5541149358593e-05
"550","GA","Wheeler County",2.7039423871181e-05
"551","GA","White County",2.01819048504828e-05
"552","GA","Whitfield County",1.374024623361e-05
"553","GA","Wilcox County",2.62311951535348e-05
"554","GA","Wilkes County",2.16012329884523e-05
"555","GA","Wilkinson County",2.51602164496994e-05
"556","GA","Worth County",2.33439230301507e-05
"557","HI","Hawaii",1.51799420678681e-05
"558","HI","Hawaii County",1.75653429834233e-05
"559","HI","Honolulu County",1.45941896675307e-05
"560","HI","Kauai County",1.64401780186238e-05
"561","HI","Maui County",1.60284772680743e-05
"562","ID","Idaho",1.67097070503588e-05
"563","ID","Ada County",1.33836608270427e-05
"564","ID","Adams County",2.16960927269883e-05
"565","ID","Bannock County",1.91839196650013e-05
"566","ID","Bear Lake County",2.09382721704842e-05
"567","ID","Benewah County",2.29583838973473e-05
"568","ID","Bingham County",1.97554663857894e-05
"569","ID","Blaine County",9.59058890785697e-06
"570","ID","Boise County",1.67330546106607e-05
"571","ID","Bonner County",1.76137436947057e-05
"572","ID","Bonneville County",1.57957673264441e-05
"573","ID","Boundary County",2.02725862874038e-05
"574","ID","Butte County",2.19698812272172e-05
"575","ID","Camas County",2.01760302394531e-05
"576","ID","Canyon County",2.08926638645877e-05
"577","ID","Caribou County",1.82545682185386e-05
"578","ID","Cassia County",2.05213787482115e-05
"579","ID","Clark County",2.88130390808683e-05
"580","ID","Clearwater County",2.01915723929748e-05
"581","ID","Custer County",2.17495825896845e-05
"582","ID","Elmore County",2.33539301404916e-05
"583","ID","Franklin County",2.05131920214999e-05
"584","ID","Fremont County",2.29766147757176e-05
"585","ID","Gem County",2.11596550346052e-05
"586","ID","Gooding County",2.19233682052477e-05
"587","ID","Idaho County",2.12967429403804e-05
"588","ID","Jefferson County",1.72179691622457e-05
"589","ID","Jerome County",2.04313431206821e-05
"590","ID","Kootenai County",1.65640074842395e-05
"591","ID","Latah County",1.78898710930831e-05
"592","ID","Lemhi County",1.93323329276538e-05
"593","ID","Lewis County",2.23361558921995e-05
"594","ID","Lincoln County",2.39329187396911e-05
"595","ID","Madison County",2.35163454142577e-05
"596","ID","Minidoka County",2.21029788794284e-05
"597","ID","Nez Perce County",1.79530505058901e-05
"598","ID","Oneida County",2.2684437323066e-05
"599","ID","Owyhee County",2.100476723783e-05
