"","STATE","COUNTYNAME","param"
"132","AR","Crawford County",2.24041067906709e-05
"133","AR","Crittenden County",2.44895478222604e-05
"134","AR","Cross County",2.37470315376232e-05
"135","AR","Dallas County",2.68885898828009e-05
"136","AR","Desha County",2.5284559130016e-05
"137","AR","Drew County",2.16741120967563e-05
"138","AR","Faulkner County",1.83662753191082e-05
"139","AR","Franklin County",2.15629620036333e-05
"140","AR","Fulton County",2.53455628236983e-05
"141","AR","Garland County",2.03570782913227e-05
"142","AR","Grant County",1.94682304129375e-05
"143","AR","Greene County",1.95115955096573e-05
"144","AR","Hempstead County",2.74956736246129e-05
"145","AR","Hot Spring County",2.38608719640764e-05
"146","AR","Howard County",2.44526412478644e-05
"147","AR","Independence County",2.16460118674299e-05
"148","AR","Izard County",2.58166973679659e-05
"149","AR","Jackson County",2.44499319119767e-05
"150","AR","Jefferson County",2.45282024841797e-05
"151","AR","Johnson County",2.57314633741175e-05
"152","AR","Lafayette County",2.58502887276968e-05
"153","AR","Lawrence County",2.56280631344355e-05
"154","AR","Lee County",2.24295411181985e-05
"155","AR","Lincoln County",2.30840289950982e-05
"156","AR","Little River County",2.33690744882083e-05
"157","AR","Logan County",2.48964056348982e-05
"158","AR","Lonoke County",1.89730680150163e-05
"159","AR","Madison County",2.42163323628578e-05
"160","AR","Marion County",2.42188509885654e-05
"161","AR","Miller County",2.21009145743643e-05
"162","AR","Mississippi County",2.44281598174114e-05
"163","AR","Monroe County",2.75168851813618e-05
"164","AR","Montgomery County",2.72854882159689e-05
"165","AR","Nevada County",2.46295853634752e-05
"166","AR","Newton County",2.86837831414788e-05
"167","AR","Ouachita County",2.3194744776065e-05
"168","AR","Perry County",2.24978253300163e-05
"169","AR","Phillips County",2.90823139742413e-05
"170","AR","Pike County",2.58407851747171e-05
"171","AR","Poinsett County",2.59812127229468e-05
"172","AR","Polk County",2.51617742497851e-05
"173","AR","Pope County",2.05555718363416e-05
"174","AR","Prairie County",2.29965990109715e-05
"175","AR","Pulaski County",1.54636234210552e-05
"176","AR","Randolph County",2.52022155853041e-05
"177","AR","St. Francis County",2.79243300267492e-05
"178","AR","Saline County",1.75448265026477e-05
"179","AR","Scott County",2.91577221708997e-05
"180","AR","Searcy County",3.26199741327924e-05
"181","AR","Sebastian County",1.9315693054851e-05
"182","AR","Sevier County",2.58955723005544e-05
"183","AR","Sharp County",2.73534584208296e-05
"184","AR","Stone County",2.71727940543148e-05
"185","AR","Union County",1.89144247109611e-05
"186","AR","Van Buren County",2.34611051645353e-05
"187","AR","Washington County",1.72024748038827e-05
"188","AR","White County",2.02587947398705e-05
"189","AR","Woodruff County",2.52151962461347e-05
"190","AR","Yell County",2.56341506607641e-05
"191","CA","California",1.24637399221084e-05
"192","CA","Alameda County",1.09531336423987e-05
"193","CA","Alpine County",1.80703512905183e-05
"194","CA","Amador County",1.65827195064476e-05
"195","CA","Butte County",1.83231163986047e-05
"196","CA","Calaveras County",1.63464928058249e-05
"197","CA","Colusa County",1.6345197307526e-05
"198","CA","Contra Costa County",9.47155960772259e-06
"199","CA","Del Norte County",2.17742429178608e-05
"200","CA","El Dorado County",1.20671317676045e-05
"201","CA","Fresno County",1.9256696772712e-05
"202","CA","Glenn County",1.93499545662786e-05
"203","CA","Humboldt County",2.03533315649757e-05
"204","CA","Imperial County",2.58823923733575e-05
"205","CA","Inyo County",1.74469035074494e-05
"206","CA","Kern County",1.9294207188227e-05
"207","CA","Kings County",2.05830648806199e-05
"208","CA","Lake County",2.25566571771676e-05
"209","CA","Lassen County",1.8755280632354e-05
"210","CA","Los Angeles County",1.37590157051202e-05
"211","CA","Madera County",2.10458565279571e-05
"212","CA","Marin County",6.03536215572199e-06
"213","CA","Mariposa County",1.96470576299007e-05
"214","CA","Mendocino County",1.99773747622343e-05
"215","CA","Merced County",2.21855914290877e-05
"216","CA","Modoc County",2.18314888318876e-05
"217","CA","Mono County",1.83234650631716e-05
"218","CA","Monterey County",1.63515409700987e-05
"219","CA","Napa County",1.12188337067947e-05
"220","CA","Nevada County",1.46061526006167e-05
"221","CA","Orange County",1.13882902028238e-05
"222","CA","Placer County",1.12178528287632e-05
"223","CA","Plumas County",1.93519339423697e-05
"224","CA","Riverside County",1.83945711233739e-05
"225","CA","Sacramento County",1.66314629227026e-05
"226","CA","San Benito County",1.51899113488585e-05
"227","CA","San Bernardino Count",1.98088134991808e-05
"228","CA","San Diego County",1.3363651138227e-05
"229","CA","San Francisco County",6.54888010347276e-06
"230","CA","San Joaquin County",1.81036512657879e-05
"231","CA","San Luis Obispo Coun",1.42712381012385e-05
"232","CA","San Mateo County",6.6655267393827e-06
"233","CA","Santa Barbara County",1.26807609905196e-05
"234","CA","Santa Clara County",7.07781992660655e-06
"235","CA","Santa Cruz County",1.21475039273092e-05
"236","CA","Shasta County",1.91253199504244e-05
"237","CA","Sierra County",2.04215887450683e-05
"238","CA","Siskiyou County",2.2384236429299e-05
"239","CA","Solano County",1.57800879781141e-05
"240","CA","Sonoma County",1.32732673316078e-05
"241","CA","Stanislaus County",1.87985668772411e-05
"242","CA","Sutter County",1.88696940749954e-05
"243","CA","Tehama County",2.03222689992238e-05
"244","CA","Trinity County",2.29045752261815e-05
"245","CA","Tulare County",2.21170908949069e-05
"246","CA","Tuolumne County",1.80444460132007e-05
"247","CA","Ventura County",1.29551132423764e-05
"248","CA","Yolo County",1.43101870005901e-05
"249","CA","Yuba County",2.21852582479752e-05
"250","CO","Colorado",1.37775560421797e-05
"251","CO","Adams County",1.86963298559084e-05
"252","CO","Alamosa County",2.21883746338607e-05
"253","CO","Arapahoe County",1.30752883629965e-05
"254","CO","Archuleta County",1.6310057814412e-05
"255","CO","Baca County",2.61853169852901e-05
"256","CO","Bent County",2.6731190710826e-05
"257","CO","Boulder County",1.04272320454063e-05
"258","CO","Broomfield County",1.13993665126728e-05
"259","CO","Chaffee County",1.74403158227384e-05
"260","CO","Cheyenne County",2.08737914841006e-05
"261","CO","Clear Creek County",1.35894482596987e-05
"262","CO","Conejos County",2.62311138327985e-05
"263","CO","Costilla County",3.00340688846216e-05
"264","CO","Crowley County",2.82224486078024e-05
"265","CO","Custer County",7.15686648256638e-06
"266","CO","Delta County",2.15343876802511e-05
"267","CO","Denver County",1.27982840672397e-05
"268","CO","Dolores County",2.33394472719026e-05
"269","CO","Douglas County",8.65950093184887e-06
"270","CO","Eagle County",1.12593053432199e-05
"271","CO","Elbert County",1.17380039313629e-05
"272","CO","El Paso County",1.66749078195936e-05
"273","CO","Fremont County",2.10884159616384e-05
"274","CO","Garfield County",1.48897431248041e-05
"275","CO","Gilpin County",1.53472044670461e-05
"276","CO","Grand County",1.58280873142601e-05
"277","CO","Gunnison County",1.85488627858192e-05
"278","CO","Hinsdale County",1.67832250857833e-05
"279","CO","Huerfano County",2.50677436710163e-05
"280","CO","Jackson County",2.11721775957898e-05
"281","CO","Jefferson County",1.29384963268952e-05
"282","CO","Kiowa County",2.16849181512648e-05
"283","CO","Kit Carson County",2.1330068656186e-05
"284","CO","Lake County",2.18877872785191e-05
"285","CO","La Plata County",1.4506860680909e-05
"286","CO","Larimer County",1.40768691063124e-05
"287","CO","Las Animas County",2.2256459098951e-05
"288","CO","Lincoln County",2.20431507774237e-05
"289","CO","Logan County",1.83779134555375e-05
"290","CO","Mesa County",1.7779175709486e-05
"291","CO","Mineral County",1.87821355477359e-05
"292","CO","Moffat County",1.8681770743308e-05
"293","CO","Montezuma County",1.99384175585302e-05
"294","CO","Montrose County",2.05458701523717e-05
"295","CO","Morgan County",2.01252729530271e-05
"296","CO","Otero County",2.55349882486644e-05
"297","CO","Ouray County",1.31717187471734e-05
"298","CO","Park County",1.61521212770031e-05
"299","CO","Phillips County",1.91393594395161e-05
"300","CO","Pitkin County",8.67074838516235e-06
"301","CO","Prowers County",2.38967906870181e-05
"302","CO","Pueblo County",2.06332023201512e-05
"303","CO","Rio Blanco County",1.63868727770924e-05
"304","CO","Rio Grande County",2.33372006446145e-05
"305","CO","Routt County",1.23381788256929e-05
"306","CO","Saguache County",2.82646638356361e-05
"307","CO","San Juan County",2.22501002656209e-05
"308","CO","San Miguel County",1.10942991674159e-05
"309","CO","Sedgwick County",2.33350470111328e-05
"310","CO","Summit County",1.3579159665655e-05
"311","CO","Teller County",1.65169744624785e-05
"312","CO","Washington County",2.12858427656837e-05
"313","CO","Weld County",1.55565296691334e-05
"314","CO","Yuma County",1.89965216153658e-05
"315","CT","Connecticut",1.05659931781264e-05
"316","CT","Fairfield County",6.41421779725256e-06
"317","CT","Hartford County",1.32686191964187e-05
"318","CT","Litchfield County",1.33541787731931e-05
"319","CT","Middlesex County",1.20348296394014e-05
"320","CT","New Haven County",1.430989208752e-05
"321","CT","New London County",1.4772232551968e-05
"322","CT","Tolland County",1.27920715229815e-05
"323","CT","Windham County",1.76781112042271e-05
"324","DE","Delaware",1.57481027846231e-05
"325","DE","Kent County",2.00135883312755e-05
"326","DE","New Castle County",1.40700760170161e-05
"327","DE","Sussex County",1.74108647790526e-05
"328","DC","District of Columbia",1.07985477166966e-05
